age_min,age_max,age_ave,gender,activity_level,der_data,der_interp
1,2,1.5,male,light,950,950
2,3,2.5,male,light,,1030
3,4,3.5,male,light,,1110
4,5,4.5,male,light,,1190
5,6,5.5,male,light,,1270
6,7,6.5,male,light,1350,1350
7,8,7.5,male,light,1450,1450
8,9,8.5,male,light,1550,1550
9,10,9.5,male,light,1675,1675
10,11,10.5,male,light,1825,1825
11,12,11.5,male,light,2000,2000
12,13,12.5,male,light,2175,2175
13,14,13.5,male,light,2350,2350
14,15,14.5,male,light,2550,2550
15,16,15.5,male,light,2700,2700
16,17,16.5,male,light,2825,2825
17,18,17.5,male,light,2900,2900
18,19,18.5,male,light,,2805.780298
19,20,19.5,male,light,,2711.560596
20,21,20.5,male,light,,2617.340894
21,22,21.5,male,light,,2523.121192
22,23,22.5,male,light,,2428.90149
23,24,23.5,male,light,2334.681788,2334.681788
24,25,24.5,male,light,,2332.430133
25,26,25.5,male,light,,2330.178479
26,27,26.5,male,light,,2327.926825
27,28,27.5,male,light,,2325.67517
28,29,28.5,male,light,,2323.423516
29,30,29.5,male,light,,2321.171862
30,31,30.5,male,light,,2318.920208
31,32,31.5,male,light,,2316.668553
32,33,32.5,male,light,,2314.416899
33,34,33.5,male,light,,2312.165245
34,35,34.5,male,light,,2309.91359
35,36,35.5,male,light,,2307.661936
36,37,36.5,male,light,,2305.410282
37,38,37.5,male,light,,2303.158628
38,39,38.5,male,light,,2300.906973
39,40,39.5,male,light,,2298.655319
40,41,40.5,male,light,,2296.403665
41,42,41.5,male,light,,2294.15201
42,43,42.5,male,light,,2291.900356
43,44,43.5,male,light,,2289.648702
44,45,44.5,male,light,2287.397048,2287.397048
45,46,45.5,male,light,,2276.058873
46,47,46.5,male,light,,2264.720699
47,48,47.5,male,light,,2253.382524
48,49,48.5,male,light,,2242.04435
49,50,49.5,male,light,,2230.706175
50,51,50.5,male,light,,2219.368001
51,52,51.5,male,light,,2208.029826
52,53,52.5,male,light,,2196.691652
53,54,53.5,male,light,,2185.353477
54,55,54.5,male,light,,2174.015303
55,56,55.5,male,light,,2162.677128
56,57,56.5,male,light,,2151.338954
57,58,57.5,male,light,,2140.000779
58,59,58.5,male,light,,2128.662605
59,60,59.5,male,light,,2117.32443
60,61,60.5,male,light,,2105.986256
61,62,61.5,male,light,,2094.648081
62,63,62.5,male,light,,2083.309907
63,64,63.5,male,light,,2071.971732
64,65,64.5,male,light,,2060.633558
65,66,65.5,male,light,,2049.295383
66,67,66.5,male,light,,2037.957209
67,68,67.5,male,light,,2026.619034
68,69,68.5,male,light,,2015.28086
69,70,69.5,male,light,,2003.942685
70,71,70.5,male,light,,1992.604511
71,72,71.5,male,light,,1981.266337
72,73,72.5,male,light,,1969.928162
73,74,73.5,male,light,,1958.589988
74,75,74.5,male,light,,1947.251813
75,76,75.5,male,light,,1935.913639
76,77,76.5,male,light,,1924.575464
77,78,77.5,male,light,,1913.23729
78,79,78.5,male,light,,1901.899115
79,80,79.5,male,light,1890.560941,1890.560941
80,81,80.5,male,light,,1879.222766
81,82,81.5,male,light,,1867.884592
82,83,82.5,male,light,,1856.546417
83,84,83.5,male,light,,1845.208243
84,85,84.5,male,light,,1833.870068
85,86,85.5,male,light,,1822.531894
86,87,86.5,male,light,,1811.193719
87,88,87.5,male,light,,1799.855545
88,89,88.5,male,light,,1788.51737
89,90,89.5,male,light,,1777.179196
90,91,90.5,male,light,,1765.841021
91,92,91.5,male,light,,1754.502847
92,93,92.5,male,light,,1743.164672
93,94,93.5,male,light,,1731.826498
94,95,94.5,male,light,,1720.488323
95,96,95.5,male,light,,1709.150149
96,97,96.5,male,light,,1697.811974
97,98,97.5,male,light,,1686.4738
98,99,98.5,male,light,,1675.135625
99,100,99.5,male,light,,1663.797451
1,2,1.5,male,moderate,950,950
2,3,2.5,male,moderate,1125,1125
3,4,3.5,male,moderate,1250,1250
4,5,4.5,male,moderate,1350,1350
5,6,5.5,male,moderate,1475,1475
6,7,6.5,male,moderate,1575,1575
7,8,7.5,male,moderate,1700,1700
8,9,8.5,male,moderate,1825,1825
9,10,9.5,male,moderate,1975,1975
10,11,10.5,male,moderate,2150,2150
11,12,11.5,male,moderate,2350,2350
12,13,12.5,male,moderate,2550,2550
13,14,13.5,male,moderate,2775,2775
14,15,14.5,male,moderate,3000,3000
15,16,15.5,male,moderate,3175,3175
16,17,16.5,male,moderate,3325,3325
17,18,17.5,male,moderate,3400,3400
18,19,18.5,male,moderate,,3283.354845
19,20,19.5,male,moderate,,3166.709689
20,21,20.5,male,moderate,,3050.064534
21,22,21.5,male,moderate,,2933.419379
22,23,22.5,male,moderate,,2816.774224
23,24,23.5,male,moderate,2700.129068,2700.129068
24,25,24.5,male,moderate,,2697.573813
25,26,25.5,male,moderate,,2695.018558
26,27,26.5,male,moderate,,2692.463303
27,28,27.5,male,moderate,,2689.908048
28,29,28.5,male,moderate,,2687.352793
29,30,29.5,male,moderate,,2684.797538
30,31,30.5,male,moderate,,2682.242282
31,32,31.5,male,moderate,,2679.687027
32,33,32.5,male,moderate,,2677.131772
33,34,33.5,male,moderate,,2674.576517
34,35,34.5,male,moderate,,2672.021262
35,36,35.5,male,moderate,,2669.466007
36,37,36.5,male,moderate,,2666.910752
37,38,37.5,male,moderate,,2664.355497
38,39,38.5,male,moderate,,2661.800242
39,40,39.5,male,moderate,,2659.244986
40,41,40.5,male,moderate,,2656.689731
41,42,41.5,male,moderate,,2654.134476
42,43,42.5,male,moderate,,2651.579221
43,44,43.5,male,moderate,,2649.023966
44,45,44.5,male,moderate,2646.468711,2646.468711
45,46,45.5,male,moderate,,2633.075824
46,47,46.5,male,moderate,,2619.682937
47,48,47.5,male,moderate,,2606.29005
48,49,48.5,male,moderate,,2592.897162
49,50,49.5,male,moderate,,2579.504275
50,51,50.5,male,moderate,,2566.111388
51,52,51.5,male,moderate,,2552.718501
52,53,52.5,male,moderate,,2539.325614
53,54,53.5,male,moderate,,2525.932727
54,55,54.5,male,moderate,,2512.53984
55,56,55.5,male,moderate,,2499.146953
56,57,56.5,male,moderate,,2485.754066
57,58,57.5,male,moderate,,2472.361178
58,59,58.5,male,moderate,,2458.968291
59,60,59.5,male,moderate,,2445.575404
60,61,60.5,male,moderate,,2432.182517
61,62,61.5,male,moderate,,2418.78963
62,63,62.5,male,moderate,,2405.396743
63,64,63.5,male,moderate,,2392.003856
64,65,64.5,male,moderate,,2378.610969
65,66,65.5,male,moderate,,2365.218082
66,67,66.5,male,moderate,,2351.825195
67,68,67.5,male,moderate,,2338.432307
68,69,68.5,male,moderate,,2325.03942
69,70,69.5,male,moderate,,2311.646533
70,71,70.5,male,moderate,,2298.253646
71,72,71.5,male,moderate,,2284.860759
72,73,72.5,male,moderate,,2271.467872
73,74,73.5,male,moderate,,2258.074985
74,75,74.5,male,moderate,,2244.682098
75,76,75.5,male,moderate,,2231.289211
76,77,76.5,male,moderate,,2217.896324
77,78,77.5,male,moderate,,2204.503436
78,79,78.5,male,moderate,,2191.110549
79,80,79.5,male,moderate,2177.717662,2177.717662
80,81,80.5,male,moderate,,2164.324775
81,82,81.5,male,moderate,,2150.931888
82,83,82.5,male,moderate,,2137.539001
83,84,83.5,male,moderate,,2124.146114
84,85,84.5,male,moderate,,2110.753227
85,86,85.5,male,moderate,,2097.36034
86,87,86.5,male,moderate,,2083.967452
87,88,87.5,male,moderate,,2070.574565
88,89,88.5,male,moderate,,2057.181678
89,90,89.5,male,moderate,,2043.788791
90,91,90.5,male,moderate,,2030.395904
91,92,91.5,male,moderate,,2017.003017
92,93,92.5,male,moderate,,2003.61013
93,94,93.5,male,moderate,,1990.217243
94,95,94.5,male,moderate,,1976.824356
95,96,95.5,male,moderate,,1963.431469
96,97,96.5,male,moderate,,1950.038581
97,98,97.5,male,moderate,,1936.645694
98,99,98.5,male,moderate,,1923.252807
99,100,99.5,male,moderate,,1909.85992
1,2,1.5,male,high_moderate,950,950
2,3,2.5,male,high_moderate,,1120
3,4,3.5,male,high_moderate,,1290
4,5,4.5,male,high_moderate,,1460
5,6,5.5,male,high_moderate,,1630
6,7,6.5,male,high_moderate,1800,1800
7,8,7.5,male,high_moderate,1950,1950
8,9,8.5,male,high_moderate,2100,2100
9,10,9.5,male,high_moderate,2275,2275
10,11,10.5,male,high_moderate,2475,2475
11,12,11.5,male,high_moderate,2700,2700
12,13,12.5,male,high_moderate,2925,2925
13,14,13.5,male,high_moderate,3175,3175
14,15,14.5,male,high_moderate,3450,3450
15,16,15.5,male,high_moderate,3650,3650
16,17,16.5,male,high_moderate,3825,3825
17,18,17.5,male,high_moderate,3925,3925
18,19,18.5,male,high_moderate,,3801.793098
19,20,19.5,male,high_moderate,,3678.586195
20,21,20.5,male,high_moderate,,3555.379293
21,22,21.5,male,high_moderate,,3432.172391
22,23,22.5,male,high_moderate,,3308.965488
23,24,23.5,male,high_moderate,3185.758586,3185.758586
24,25,24.5,male,high_moderate,,3182.186532
25,26,25.5,male,high_moderate,,3178.614479
26,27,26.5,male,high_moderate,,3175.042425
27,28,27.5,male,high_moderate,,3171.470371
28,29,28.5,male,high_moderate,,3167.898318
29,30,29.5,male,high_moderate,,3164.326264
30,31,30.5,male,high_moderate,,3160.75421
31,32,31.5,male,high_moderate,,3157.182157
32,33,32.5,male,high_moderate,,3153.610103
33,34,33.5,male,high_moderate,,3150.038049
34,35,34.5,male,high_moderate,,3146.465996
35,36,35.5,male,high_moderate,,3142.893942
36,37,36.5,male,high_moderate,,3139.321888
37,38,37.5,male,high_moderate,,3135.749835
38,39,38.5,male,high_moderate,,3132.177781
39,40,39.5,male,high_moderate,,3128.605727
40,41,40.5,male,high_moderate,,3125.033674
41,42,41.5,male,high_moderate,,3121.46162
42,43,42.5,male,high_moderate,,3117.889566
43,44,43.5,male,high_moderate,,3114.317513
44,45,44.5,male,high_moderate,3110.745459,3110.745459
45,46,45.5,male,high_moderate,,3095.540861
46,47,46.5,male,high_moderate,,3080.336263
47,48,47.5,male,high_moderate,,3065.131664
48,49,48.5,male,high_moderate,,3049.927066
49,50,49.5,male,high_moderate,,3034.722468
50,51,50.5,male,high_moderate,,3019.51787
51,52,51.5,male,high_moderate,,3004.313272
52,53,52.5,male,high_moderate,,2989.108673
53,54,53.5,male,high_moderate,,2973.904075
54,55,54.5,male,high_moderate,,2958.699477
55,56,55.5,male,high_moderate,,2943.494879
56,57,56.5,male,high_moderate,,2928.290281
57,58,57.5,male,high_moderate,,2913.085682
58,59,58.5,male,high_moderate,,2897.881084
59,60,59.5,male,high_moderate,,2882.676486
60,61,60.5,male,high_moderate,,2867.471888
61,62,61.5,male,high_moderate,,2852.267289
62,63,62.5,male,high_moderate,,2837.062691
63,64,63.5,male,high_moderate,,2821.858093
64,65,64.5,male,high_moderate,,2806.653495
65,66,65.5,male,high_moderate,,2791.448897
66,67,66.5,male,high_moderate,,2776.244298
67,68,67.5,male,high_moderate,,2761.0397
68,69,68.5,male,high_moderate,,2745.835102
69,70,69.5,male,high_moderate,,2730.630504
70,71,70.5,male,high_moderate,,2715.425906
71,72,71.5,male,high_moderate,,2700.221307
72,73,72.5,male,high_moderate,,2685.016709
73,74,73.5,male,high_moderate,,2669.812111
74,75,74.5,male,high_moderate,,2654.607513
75,76,75.5,male,high_moderate,,2639.402915
76,77,76.5,male,high_moderate,,2624.198316
77,78,77.5,male,high_moderate,,2608.993718
