Age_range,Age_min,Age_max,Gender,Body_mass_kg,Activity_level,Daily_energy_req_megajoule_per_day,Daily_energy_req_kilocal_per_day
18-29.9,18,30,male,50,1.45 × BMR,8.8,2100
18-29.9,18,30,male,55,1.45 × BMR,9.2,2200
18-29.9,18,30,male,60,1.45 × BMR,9.7,2300
18-29.9,18,30,male,65,1.45 × BMR,10.1,2400
18-29.9,18,30,male,70,1.45 × BMR,10.6,2550
18-29.9,18,30,male,75,1.45 × BMR,11.1,2650
18-29.9,18,30,male,80,1.45 × BMR,11.5,2750
18-29.9,18,30,male,85,1.45 × BMR,12,2850
18-29.9,18,30,male,90,1.45 × BMR,12.4,2950
18-29.9,18,30,male,50,1.60 × BMR,9.7,2300
18-29.9,18,30,male,55,1.60 × BMR,10.2,2450
18-29.9,18,30,male,60,1.60 × BMR,10.7,2550
18-29.9,18,30,male,65,1.60 × BMR,11.2,2650
18-29.9,18,30,male,70,1.60 × BMR,11.7,2800
18-29.9,18,30,male,75,1.60 × BMR,12.2,2900
18-29.9,18,30,male,80,1.60 × BMR,12.7,3050
18-29.9,18,30,male,85,1.60 × BMR,13.2,3150
18-29.9,18,30,male,90,1.60 × BMR,13.7,3300
18-29.9,18,30,male,50,1.75 × BMR,10.6,2550
18-29.9,18,30,male,55,1.75 × BMR,11.1,2650
18-29.9,18,30,male,60,1.75 × BMR,11.7,2800
18-29.9,18,30,male,65,1.75 × BMR,12.2,2900
18-29.9,18,30,male,70,1.75 × BMR,12.8,3050
18-29.9,18,30,male,75,1.75 × BMR,13.3,3200
18-29.9,18,30,male,80,1.75 × BMR,13.9,3300
18-29.9,18,30,male,85,1.75 × BMR,14.4,3450
18-29.9,18,30,male,90,1.75 × BMR,15,3600
18-29.9,18,30,male,50,1.90 × BMR,11.5,2750
18-29.9,18,30,male,55,1.90 × BMR,12.1,2900
18-29.9,18,30,male,60,1.90 × BMR,12.7,3050
18-29.9,18,30,male,65,1.90 × BMR,13.3,3150
18-29.9,18,30,male,70,1.90 × BMR,13.9,3300
18-29.9,18,30,male,75,1.90 × BMR,14.5,3450
18-29.9,18,30,male,80,1.90 × BMR,15.1,3600
18-29.9,18,30,male,85,1.90 × BMR,15.7,3750
18-29.9,18,30,male,90,1.90 × BMR,16.3,3900
18-29.9,18,30,male,50,2.05 × BMR,12.4,2950
18-29.9,18,30,male,55,2.05 × BMR,13,3100
18-29.9,18,30,male,60,2.05 × BMR,13.7,3250
18-29.9,18,30,male,65,2.05 × BMR,14.3,3450
18-29.9,18,30,male,70,2.05 × BMR,15,3600
18-29.9,18,30,male,75,2.05 × BMR,15.6,3750
18-29.9,18,30,male,80,2.05 × BMR,16.3,3900
18-29.9,18,30,male,85,2.05 × BMR,16.9,4050
18-29.9,18,30,male,90,2.05 × BMR,17.6,4200
18-29.9,18,30,male,50,2.20 × BMR,13.3,3200
18-29.9,18,30,male,55,2.20 × BMR,14,3350
18-29.9,18,30,male,60,2.20 × BMR,14.7,3500
18-29.9,18,30,male,65,2.20 × BMR,15.4,3700
18-29.9,18,30,male,70,2.20 × BMR,16.1,3850
18-29.9,18,30,male,75,2.20 × BMR,16.8,4000
18-29.9,18,30,male,80,2.20 × BMR,17.5,4150
18-29.9,18,30,male,85,2.20 × BMR,18.2,4350
18-29.9,18,30,male,90,2.20 × BMR,18.8,4500
30-59.9,30,60,male,50,1.45 × BMR,8.8,2100
30-59.9,30,60,male,55,1.45 × BMR,9.1,2200
30-59.9,30,60,male,60,1.45 × BMR,9.5,2250
30-59.9,30,60,male,65,1.45 × BMR,9.8,2350
30-59.9,30,60,male,70,1.45 × BMR,10.2,2450
30-59.9,30,60,male,75,1.45 × BMR,10.5,2500
30-59.9,30,60,male,80,1.45 × BMR,10.9,2600
30-59.9,30,60,male,85,1.45 × BMR,11.2,2700
30-59.9,30,60,male,90,1.45 × BMR,11.6,2750
30-59.9,30,60,male,50,1.60 × BMR,9.7,2300
30-59.9,30,60,male,55,1.60 × BMR,10.1,2400
30-59.9,30,60,male,60,1.60 × BMR,10.5,2500
30-59.9,30,60,male,65,1.60 × BMR,10.8,2600
30-59.9,30,60,male,70,1.60 × BMR,11.2,2700
30-59.9,30,60,male,75,1.60 × BMR,11.6,2750
30-59.9,30,60,male,80,1.60 × BMR,12,2850
30-59.9,30,60,male,85,1.60 × BMR,12.4,2950
30-59.9,30,60,male,90,1.60 × BMR,12.8,3050
30-59.9,30,60,male,50,1.75 × BMR,10.6,2550
30-59.9,30,60,male,55,1.75 × BMR,11,2650
30-59.9,30,60,male,60,1.75 × BMR,11.4,2750
30-59.9,30,60,male,65,1.75 × BMR,11.9,2850
30-59.9,30,60,male,70,1.75 × BMR,12.3,2950
30-59.9,30,60,male,75,1.75 × BMR,12.7,3050
30-59.9,30,60,male,80,1.75 × BMR,13.1,3150
30-59.9,30,60,male,85,1.75 × BMR,13.5,3250
30-59.9,30,60,male,90,1.75 × BMR,14,3350
30-59.9,30,60,male,50,1.90 × BMR,11.5,2750
30-59.9,30,60,male,55,1.90 × BMR,12,2850
30-59.9,30,60,male,60,1.90 × BMR,12.4,2950
30-59.9,30,60,male,65,1.90 × BMR,12.9,3100
30-59.9,30,60,male,70,1.90 × BMR,13.3,3200
30-59.9,30,60,male,75,1.90 × BMR,13.8,3300
30-59.9,30,60,male,80,1.90 × BMR,14.2,3400
30-59.9,30,60,male,85,1.90 × BMR,14.7,3500
30-59.9,30,60,male,90,1.90 × BMR,15.1,3600
30-59.9,30,60,male,50,2.05 × BMR,12.4,2950
30-59.9,30,60,male,55,2.05 × BMR,12.9,3100
30-59.9,30,60,male,60,2.05 × BMR,13.4,3200
30-59.9,30,60,male,65,2.05 × BMR,13.9,3300
30-59.9,30,60,male,70,2.05 × BMR,14.4,3450
30-59.9,30,60,male,75,2.05 × BMR,14.9,3550
30-59.9,30,60,male,80,2.05 × BMR,15.4,3650
30-59.9,30,60,male,85,2.05 × BMR,15.9,3800
30-59.9,30,60,male,90,2.05 × BMR,16.3,3900
30-59.9,30,60,male,50,2.20 × BMR,13.3,3200
30-59.9,30,60,male,55,2.20 × BMR,13.8,3300
30-59.9,30,60,male,60,2.20 × BMR,14.4,3450
30-59.9,30,60,male,65,2.20 × BMR,14.9,3550
30-59.9,30,60,male,70,2.20 × BMR,15.4,3700
30-59.9,30,60,male,75,2.20 × BMR,16,3800
30-59.9,30,60,male,80,2.20 × BMR,16.5,3950
30-59.9,30,60,male,85,2.20 × BMR,17,4050
30-59.9,30,60,male,90,2.20 × BMR,17.5,4200
60plus,60,999,male,50,1.45 × BMR,7.1,1700
60plus,60,999,male,55,1.45 × BMR,7.5,1800
60plus,60,999,male,60,1.45 × BMR,7.8,1850
60plus,60,999,male,65,1.45 × BMR,8.2,1950
60plus,60,999,male,70,1.45 × BMR,8.5,2050
60plus,60,999,male,75,1.45 × BMR,8.9,2150
60plus,60,999,male,80,1.45 × BMR,9.2,2200
60plus,60,999,male,85,1.45 × BMR,9.6,2300
60plus,60,999,male,90,1.45 × BMR,10,2400
60plus,60,999,male,50,1.60 × BMR,7.9,1900
60plus,60,999,male,55,1.60 × BMR,8.2,1950
60plus,60,999,male,60,1.60 × BMR,8.6,2050
60plus,60,999,male,65,1.60 × BMR,9,2150
60plus,60,999,male,70,1.60 × BMR,9.4,2250
60plus,60,999,male,75,1.60 × BMR,9.8,2350
60plus,60,999,male,80,1.60 × BMR,10.2,2450
60plus,60,999,male,85,1.60 × BMR,10.6,2550
60plus,60,999,male,90,1.60 × BMR,11,2650
60plus,60,999,male,50,1.75 × BMR,8.6,2050
60plus,60,999,male,55,1.75 × BMR,9,2150
60plus,60,999,male,60,1.75 × BMR,9.4,2250
60plus,60,999,male,65,1.75 × BMR,9.9,2350
60plus,60,999,male,70,1.75 × BMR,10.3,2450
60plus,60,999,male,75,1.75 × BMR,10.7,2550
60plus,60,999,male,80,1.75 × BMR,11.2,2650
60plus,60,999,male,85,1.75 × BMR,11.6,2750
60plus,60,999,male,90,1.75 × BMR,12,2850
60plus,60,999,male,50,1.90 × BMR,9.3,2250
60plus,60,999,male,55,1.90 × BMR,9.8,2350
60plus,60,999,male,60,1.90 × BMR,10.3,2450
60plus,60,999,male,65,1.90 × BMR,10.7,2550
60plus,60,999,male,70,1.90 × BMR,11.2,2650
60plus,60,999,male,75,1.90 × BMR,11.7,2800
60plus,60,999,male,80,1.90 × BMR,12.1,2900
60plus,60,999,male,85,1.90 × BMR,12.6,3000
60plus,60,999,male,90,1.90 × BMR,13.1,3100
60plus,60,999,male,50,2.05 × BMR,10.1,2400
60plus,60,999,male,55,2.05 × BMR,10.6,2550
60plus,60,999,male,60,2.05 × BMR,11.1,2650
60plus,60,999,male,65,2.05 × BMR,11.6,2750
60plus,60,999,male,70,2.05 × BMR,12.1,2900
60plus,60,999,male,75,2.05 × BMR,12.6,3000
60plus,60,999,male,80,2.05 × BMR,13.1,3150
60plus,60,999,male,85,2.05 × BMR,13.6,3250
