Age_range,Age_min,Age_max,Gender,Body_mass_kg,Activity_level,Daily_energy_req_megajoule_per_day,Daily_energy_req_kilocal_per_day,Physical_Activity_Level_PAL
1-2,1,2,male,11.5,light,,,
2-3,2,3,male,13.5,light,,,
3-4,3,4,male,15.7,light,,,
4-5,4,5,male,17.7,light,,,
5-6,5,6,male,19.7,light,,,
6-7,6,7,male,21.7,light,5.6,1350,1.3
7-8,7,8,male,24,light,6,1450,1.35
8-9,8,9,male,26.7,light,6.5,1550,1.4
9-10,9,10,male,29.7,light,7,1675,1.4
10-11,10,11,male,33.3,light,7.7,1825,1.45
11-12,11,12,male,37.5,light,8.3,2000,1.5
12-13,12,13,male,42.3,light,9.1,2175,1.55
13-14,13,14,male,47.8,light,9.8,2350,1.55
14-15,14,15,male,53.8,light,10.6,2550,1.6
15-16,15,16,male,59.5,light,11.3,2700,1.6
16-17,16,17,male,64.4,light,11.8,2825,1.55
17-18,17,18,male,67.8,light,12.1,2900,1.55
1-2,1,2,male,11.5,moderate,4,950,1.45
2-3,2,3,male,13.5,moderate,4.7,1125,1.45
3-4,3,4,male,15.7,moderate,5.2,1250,1.45
4-5,4,5,male,17.7,moderate,5.7,1350,1.5
5-6,5,6,male,19.7,moderate,6.1,1475,1.55
6-7,6,7,male,21.7,moderate,6.6,1575,1.55
7-8,7,8,male,24,moderate,7.1,1700,1.6
8-9,8,9,male,26.7,moderate,7.7,1825,1.65
9-10,9,10,male,29.7,moderate,8.3,1975,1.65
10-11,10,11,male,33.3,moderate,9,2150,1.7
11-12,11,12,male,37.5,moderate,9.8,2350,1.75
12-13,12,13,male,42.3,moderate,10.7,2550,1.8
13-14,13,14,male,47.8,moderate,11.6,2775,1.8
14-15,14,15,male,53.8,moderate,12.5,3000,1.85
15-16,15,16,male,59.5,moderate,13.3,3175,1.85
16-17,16,17,male,64.4,moderate,13.9,3325,1.85
17-18,17,18,male,67.8,moderate,14.3,3400,1.85
1-2,1,2,male,11.5,heavy,,,
2-3,2,3,male,13.5,heavy,,,
3-4,3,4,male,15.7,heavy,,,
4-5,4,5,male,17.7,heavy,,,
5-6,5,6,male,19.7,heavy,,,
6-7,6,7,male,21.7,heavy,7.6,1800,1.8
7-8,7,8,male,24,heavy,8.2,1950,1.85
8-9,8,9,male,26.7,heavy,8.8,2100,1.9
9-10,9,10,male,29.7,heavy,9.5,2275,1.9
10-11,10,11,male,33.3,heavy,10.4,2475,1.95
11-12,11,12,male,37.5,heavy,11.3,2700,2
12-13,12,13,male,42.3,heavy,12.3,2925,2.05
13-14,13,14,male,47.8,heavy,13.3,3175,2.05
14-15,14,15,male,53.8,heavy,14.4,3450,2.15
15-16,15,16,male,59.5,heavy,15.3,3650,2.15
16-17,16,17,male,64.4,heavy,16,3825,2.15
17-18,17,18,male,67.8,heavy,16.4,3925,2.15
1-2,1,2,female,10.8,light,,,
2-3,2,3,female,13,light,,,
3-4,3,4,female,15.1,light,,,
4-5,4,5,female,16.8,light,,,
5-6,5,6,female,18.6,light,,,
6-7,6,7,female,20.6,light,5.1,1225,1.3
7-8,7,8,female,23.3,light,5.5,1325,1.35
8-9,8,9,female,26.6,light,6,1450,1.4
9-10,9,10,female,30.5,light,6.6,1575,1.4
10-11,10,11,female,34.7,light,7.1,1700,1.45
11-12,11,12,female,39.2,light,7.6,1825,1.5
12-13,12,13,female,43.8,light,8.1,1925,1.5
13-14,13,14,female,48.3,light,8.5,2025,1.5
14-15,14,15,female,52.1,light,8.7,2075,1.5
15-16,15,16,female,55,light,8.9,2125,1.5
16-17,16,17,female,56.4,light,8.9,2125,1.5
17-18,17,18,female,56.7,light,8.9,2125,1.45
1-2,1,2,female,10.8,moderate,3.6,850,1.4
2-3,2,3,female,13,moderate,4.4,1050,1.4
3-4,3,4,female,15.1,moderate,4.8,1150,1.45
4-5,4,5,female,16.8,moderate,5.2,1250,1.5
5-6,5,6,female,18.6,moderate,5.6,1325,1.55
6-7,6,7,female,20.6,moderate,6,1425,1.55
7-8,7,8,female,23.3,moderate,6.5,1550,1.6
8-9,8,9,female,26.6,moderate,7.1,1700,1.65
9-10,9,10,female,30.5,moderate,7.7,1850,1.65
10-11,10,11,female,34.7,moderate,8.4,2000,1.7
11-12,11,12,female,39.2,moderate,9,2150,1.75
12-13,12,13,female,43.8,moderate,9.5,2275,1.75
13-14,13,14,female,48.3,moderate,10,2375,1.75
14-15,14,15,female,52.1,moderate,10.2,2450,1.75
15-16,15,16,female,55,moderate,10.4,2500,1.75
16-17,16,17,female,56.4,moderate,10.5,2500,1.75
17-18,17,18,female,56.7,moderate,10.5,2500,1.7
1-2,1,2,female,10.8,heavy,,,
2-3,2,3,female,13,heavy,,,
3-4,3,4,female,15.1,heavy,,,
4-5,4,5,female,16.8,heavy,,,
5-6,5,6,female,18.6,heavy,,,
6-7,6,7,female,20.6,heavy,6.9,1650,1.8
7-8,7,8,female,23.3,heavy,7.5,1775,1.85
8-9,8,9,female,26.6,heavy,8.2,1950,1.9
9-10,9,10,female,30.5,heavy,8.9,2125,1.9
10-11,10,11,female,34.7,heavy,9.6,2300,1.95
11-12,11,12,female,39.2,heavy,10.3,2475,2
12-13,12,13,female,43.8,heavy,11,2625,2
13-14,13,14,female,48.3,heavy,11.4,2725,2
14-15,14,15,female,52.1,heavy,11.8,2825,2
15-16,15,16,female,55,heavy,12,2875,2
16-17,16,17,female,56.4,heavy,12,2875,2
17-18,17,18,female,56.7,heavy,12,2875,1.95
