iso_alpha3,countryname,fao_countrycode,un_countrycode,subregioncode,subregionname
BDI,Burundi,29,108,910,Eastern Africa
COM,Comoros,45,174,910,Eastern Africa
DJI,Djibouti,72,262,910,Eastern Africa
ERI,Eritrea,178,232,910,Eastern Africa
ETH,Ethiopia,238,231,910,Eastern Africa
KEN,Kenya,114,404,910,Eastern Africa
MDG,Madagascar,129,450,910,Eastern Africa
MWI,Malawi,130,454,910,Eastern Africa
MUS,Mauritius,137,480,910,Eastern Africa
MYT,Mayotte,270,175,910,Eastern Africa
MOZ,Mozambique,144,508,910,Eastern Africa
RWA,Rwanda,184,646,910,Eastern Africa
SYC,Seychelles,196,690,910,Eastern Africa
SOM,Somalia,201,706,910,Eastern Africa
SSD,South Sudan,277,728,910,Eastern Africa
UGA,Uganda,226,800,910,Eastern Africa
TZA,United Republic of Tanzania,215,834,910,Eastern Africa
ZMB,Zambia,251,894,910,Eastern Africa
ZWE,Zimbabwe,181,716,910,Eastern Africa
AGO,Angola,7,24,911,Middle Africa
CMR,Cameroon,32,120,911,Middle Africa
CAF,Central African Republic,37,140,911,Middle Africa
TCD,Chad,39,148,911,Middle Africa
COG,Congo,46,178,911,Middle Africa
COD,Democratic Republic of the Congo,250,180,911,Middle Africa
GNQ,Equatorial Guinea,61,226,911,Middle Africa
GAB,Gabon,74,266,911,Middle Africa
STP,Sao Tome and Principe,193,678,911,Middle Africa
BWA,Botswana,20,72,913,Southern Africa
SWZ,Eswatini,209,748,913,Southern Africa
LSO,Lesotho,122,426,913,Southern Africa
NAM,Namibia,147,516,913,Southern Africa
ZAF,South Africa,202,710,913,Southern Africa
BEN,Benin,53,204,914,Western Africa
BFA,Burkina Faso,233,854,914,Western Africa
CPV,Cabo Verde,35,132,914,Western Africa
GMB,Gambia,75,270,914,Western Africa
GHA,Ghana,81,288,914,Western Africa
GIN,Guinea,90,324,914,Western Africa
GNB,Guinea-Bissau,175,624,914,Western Africa
LBR,Liberia,123,430,914,Western Africa
MLI,Mali,133,466,914,Western Africa
MRT,Mauritania,136,478,914,Western Africa
NER,Niger,158,562,914,Western Africa
NGA,Nigeria,159,566,914,Western Africa
SEN,Senegal,195,686,914,Western Africa
SLE,Sierra Leone,197,694,914,Western Africa
TGO,Togo,217,768,914,Western Africa
DZA,Algeria,4,12,912,Northern Africa
EGY,Egypt,59,818,912,Northern Africa
LBY,Libya,124,434,912,Northern Africa
MAR,Morocco,143,504,912,Northern Africa
SDN,Sudan,276,729,912,Northern Africa
TUN,Tunisia,222,788,912,Northern Africa
ESH,Western Sahara,205,732,912,Northern Africa
ARM,Armenia,1,51,922,Western Asia
AZE,Azerbaijan,52,31,922,Western Asia
BHR,Bahrain,13,48,922,Western Asia
