iso_alpha3,countryname,fao_countrycode,un_countrycode,subregioncode,subregionname,region
BDI,Burundi,29,108,910,Eastern Africa,Africa
COM,Comoros,45,174,910,Eastern Africa,Africa
DJI,Djibouti,72,262,910,Eastern Africa,Africa
ERI,Eritrea,178,232,910,Eastern Africa,Africa
ETH,Ethiopia,238,231,910,Eastern Africa,Africa
KEN,Kenya,114,404,910,Eastern Africa,Africa
MDG,Madagascar,129,450,910,Eastern Africa,Africa
MWI,Malawi,130,454,910,Eastern Africa,Africa
MUS,Mauritius,137,480,910,Eastern Africa,Africa
MYT,Mayotte,270,175,910,Eastern Africa,Africa
MOZ,Mozambique,144,508,910,Eastern Africa,Africa
RWA,Rwanda,184,646,910,Eastern Africa,Africa
SYC,Seychelles,196,690,910,Eastern Africa,Africa
SOM,Somalia,201,706,910,Eastern Africa,Africa
SSD,South Sudan,277,728,910,Eastern Africa,Africa
UGA,Uganda,226,800,910,Eastern Africa,Africa
TZA,United Republic of Tanzania,215,834,910,Eastern Africa,Africa
ZMB,Zambia,251,894,910,Eastern Africa,Africa
ZWE,Zimbabwe,181,716,910,Eastern Africa,Africa
AGO,Angola,7,24,911,Middle Africa,Africa
CMR,Cameroon,32,120,911,Middle Africa,Africa
CAF,Central African Republic,37,140,911,Middle Africa,Africa
TCD,Chad,39,148,911,Middle Africa,Africa
COG,Congo,46,178,911,Middle Africa,Africa
COD,Democratic Republic of the Congo,250,180,911,Middle Africa,Africa
GNQ,Equatorial Guinea,61,226,911,Middle Africa,Africa
GAB,Gabon,74,266,911,Middle Africa,Africa
STP,Sao Tome and Principe,193,678,911,Middle Africa,Africa
BWA,Botswana,20,72,913,Southern Africa,Africa
SWZ,Eswatini,209,748,913,Southern Africa,Africa
LSO,Lesotho,122,426,913,Southern Africa,Africa
NAM,Namibia,147,516,913,Southern Africa,Africa
ZAF,South Africa,202,710,913,Southern Africa,Africa
BEN,Benin,53,204,914,Western Africa,Africa
BFA,Burkina Faso,233,854,914,Western Africa,Africa
CPV,Cabo Verde,35,132,914,Western Africa,Africa
GMB,Gambia,75,270,914,Western Africa,Africa
GHA,Ghana,81,288,914,Western Africa,Africa
GIN,Guinea,90,324,914,Western Africa,Africa
GNB,Guinea-Bissau,175,624,914,Western Africa,Africa
LBR,Liberia,123,430,914,Western Africa,Africa
MLI,Mali,133,466,914,Western Africa,Africa
MRT,Mauritania,136,478,914,Western Africa,Africa
NER,Niger,158,562,914,Western Africa,Africa
NGA,Nigeria,159,566,914,Western Africa,Africa
SEN,Senegal,195,686,914,Western Africa,Africa
SLE,Sierra Leone,197,694,914,Western Africa,Africa
TGO,Togo,217,768,914,Western Africa,Africa
DZA,Algeria,4,12,912,Northern Africa,Africa
EGY,Egypt,59,818,912,Northern Africa,Africa
LBY,Libya,124,434,912,Northern Africa,Africa
MAR,Morocco,143,504,912,Northern Africa,Africa
SDN,Sudan,276,729,912,Northern Africa,Africa
TUN,Tunisia,222,788,912,Northern Africa,Africa
ESH,Western Sahara,205,732,912,Northern Africa,Africa
ARM,Armenia,1,51,922,Western Asia,Central Asia and Russia
AZE,Azerbaijan,52,31,922,Western Asia,Central Asia and Russia
BHR,Bahrain,13,48,922,Western Asia,MENA
CYP,Cyprus,50,196,922,Western Asia,Europe
GEO,Georgia,73,268,922,Western Asia,Central Asia and Russia
IRQ,Iraq,103,368,922,Western Asia,MENA
ISR,Israel,105,376,922,Western Asia,MENA
JOR,Jordan,112,400,922,Western Asia,MENA
KWT,Kuwait,118,414,922,Western Asia,MENA
LBN,Lebanon,121,422,922,Western Asia,MENA
OMN,Oman,221,512,922,Western Asia,MENA
QAT,Qatar,179,634,922,Western Asia,MENA
SAU,Saudi Arabia,194,682,922,Western Asia,MENA
SYR,Syrian Arab Republic,212,760,922,Western Asia,MENA
TUR,Turkey,223,792,922,Western Asia,MENA
ARE,United Arab Emirates,225,784,922,Western Asia,MENA
YEM,Yemen,249,887,922,Western Asia,MENA
KAZ,Kazakhstan,108,398,5500,Central Asia,Central Asia and Russia
KGZ,Kyrgyzstan,113,417,5500,Central Asia,Central Asia and Russia
TJK,Tajikistan,208,762,5500,Central Asia,Central Asia and Russia
TKM,Turkmenistan,213,795,5500,Central Asia,Central Asia and Russia
UZB,Uzbekistan,235,860,5500,Central Asia,Central Asia and Russia
AFG,Afghanistan,2,4,5501,Southern Asia,Central Asia and Russia
BGD,Bangladesh,16,50,5501,Southern Asia,South Asia
BTN,Bhutan,18,64,5501,Southern Asia,South Asia
IND,India,100,356,5501,Southern Asia,South Asia
IRN,Iran (Islamic Republic of),102,364,5501,Southern Asia,Central Asia and Russia
MDV,Maldives,132,462,5501,Southern Asia,South Asia
NPL,Nepal,149,524,5501,Southern Asia,South Asia
PAK,Pakistan,165,586,5501,Southern Asia,South Asia
LKA,Sri Lanka,38,144,5501,Southern Asia,South Asia
