iso3,year,population,scenario
ABW,2010,107488.000003769,SSP1
ABW,2015,117646.11139855527,SSP1
ABW,2020,124379.96742092834,SSP1
ABW,2025,130284.97393742597,SSP1
ABW,2030,135258.34495758513,SSP1
ABW,2035,139625.86725772938,SSP1
ABW,2040,143324.0969957803,SSP1
ABW,2045,146072.77475608367,SSP1
ABW,2050,147776.6628831898,SSP1
ABW,2055,148569.3356127014,SSP1
ABW,2060,148656.1081367511,SSP1
ABW,2065,147793.23654194965,SSP1
ABW,2070,146062.29034786508,SSP1
ABW,2075,143461.76508448398,SSP1
ABW,2080,139950.18442086893,SSP1
ABW,2085,135143.14330925568,SSP1
ABW,2090,129071.09839379812,SSP1
ABW,2095,122080.00575648865,SSP1
ABW,2100,114125.52446867707,SSP1
AFG,2010,31411742.89582187,SSP1
AFG,2015,35352233.78801412,SSP1
AFG,2020,39534899.793872885,SSP1
AFG,2025,43719411.38147776,SSP1
AFG,2030,47674208.00936784,SSP1
AFG,2035,51489219.287691124,SSP1
AFG,2040,55001217.69341793,SSP1
AFG,2045,58081992.45710659,SSP1
AFG,2050,60679599.96343135,SSP1
AFG,2055,62845560.78137293,SSP1
AFG,2060,64556797.22766428,SSP1
AFG,2065,65928718.25114743,SSP1
AFG,2070,66940330.4230776,SSP1
AFG,2075,67568882.69425566,SSP1
AFG,2080,67824128.28717405,SSP1
AFG,2085,67715155.95937996,SSP1
AFG,2090,67260633.4010095,SSP1
AFG,2095,66474970.68347785,SSP1
AFG,2100,65377402.00571284,SSP1
AGO,2010,19081912,SSP1
AGO,2015,21775854.965823818,SSP1
AGO,2020,24583074.54177044,SSP1
AGO,2025,27315389.937210053,SSP1
AGO,2030,29851250.246485863,SSP1
AGO,2035,32269574.590167325,SSP1
AGO,2040,34506566.65670927,SSP1
AGO,2045,36510910.97302173,SSP1
AGO,2050,38246952.29647594,SSP1
AGO,2055,39733199.67024245,SSP1
AGO,2060,40970235.50279311,SSP1
AGO,2065,41953884.83819306,SSP1
AGO,2070,42671111.1218906,SSP1
AGO,2075,43117558.9379324,SSP1
AGO,2080,43296470.46286526,SSP1
AGO,2085,43216255.43917704,SSP1
AGO,2090,42885343.66999319,SSP1
AGO,2095,42316015.986881666,SSP1
AGO,2100,41535763.266121425,SSP1
ALB,2010,3204284.0000000005,SSP1
ALB,2015,3230794.6329910955,SSP1
ALB,2020,3244864.356084607,SSP1
ALB,2025,3243786.62375637,SSP1
ALB,2030,3226046.904880906,SSP1
ALB,2035,3198288.43660107,SSP1
ALB,2040,3161162.2604443254,SSP1
ALB,2045,3112843.9036300955,SSP1
ALB,2050,3051756.9194784826,SSP1
ALB,2055,2979725.588675217,SSP1
ALB,2060,2898703.261390394,SSP1
ALB,2065,2805978.7655917373,SSP1
ALB,2070,2702929.875582294,SSP1
